Food_code,Seq_num,Additional_food_description,Start_date,End_date
11830165.0,5.0,sugar free,2021-01-01,2023-12-31
11830260.0,1.0,Ovaltine,2021-01-01,2023-12-31
11830260.0,2.0,NS as to flavor,2021-01-01,2023-12-31
11830400.0,3.0,flavors other than chocolate,2021-01-01,2023-12-31
12110100.0,1.0,coffee cream,2021-01-01,2023-12-31
12110100.0,2.0,table cream,2021-01-01,2023-12-31
12120100.0,1.0,plain,2021-01-01,2023-12-31
12120110.0,3.0,low fat,2021-01-01,2023-12-31
12120110.0,4.0,plain or flavored,2021-01-01,2023-12-31
12130100.0,2.0,whipping cream,2021-01-01,2023-12-31
12130100.0,3.0,NS as to heavy or light,2021-01-01,2023-12-31
12140000.0,3.0,heavy,2021-01-01,2023-12-31
12140000.0,4.0,light,2021-01-01,2023-12-31
12140000.0,6.0,Reddiwip,2021-01-01,2023-12-31
12140000.0,7.0,real whipped cream,2021-01-01,2023-12-31
12140000.0,8.0,plain or flavored,2021-01-01,2023-12-31
12210200.0,8.0,frozen,2021-01-01,2023-12-31
12210200.0,9.0,Coffee Mate,2021-01-01,2023-12-31
12210200.0,10.0,Carnation,2021-01-01,2023-12-31
12210200.0,11.0,Coffee Rich,2021-01-01,2023-12-31
12210200.0,12.0,Dunkin Donuts,2021-01-01,2023-12-31
12210200.0,13.0,International Delight,2021-01-01,2023-12-31
12210200.0,14.0,plain,2021-01-01,2023-12-31
12210210.0,4.0,Coffee Mate,2021-01-01,2023-12-31
12210210.0,5.0,Bailey's,2021-01-01,2023-12-31
12210210.0,6.0,Bliss,2021-01-01,2023-12-31
12210210.0,7.0,Carnation,2021-01-01,2023-12-31
12210210.0,8.0,Coffee Rich,2021-01-01,2023-12-31
12210210.0,9.0,Dunkin Donuts,2021-01-01,2023-12-31
12210210.0,10.0,International Delight,2021-01-01,2023-12-31
12210210.0,11.0,Mocha Mix,2021-01-01,2023-12-31
12210260.0,2.0,low fat,2021-01-01,2023-12-31
12210260.0,3.0,light,2021-01-01,2023-12-31
12210260.0,4.0,lite,2021-01-01,2023-12-31
12210260.0,5.0,Coffee Mate,2021-01-01,2023-12-31
12210260.0,6.0,Carnation,2021-01-01,2023-12-31
12210260.0,7.0,Coffee Rich,2021-01-01,2023-12-31
12210260.0,8.0,Dunkin Donuts,2021-01-01,2023-12-31
12210260.0,9.0,International Delight,2021-01-01,2023-12-31
12210260.0,10.0,plain,2021-01-01,2023-12-31
12210270.0,6.0,light,2021-01-01,2023-12-31
12210270.0,7.0,lite,2021-01-01,2023-12-31
12210270.0,8.0,Coffee Mate,2021-01-01,2023-12-31
12210270.0,9.0,low fat,2021-01-01,2023-12-31
12210270.0,10.0,Carnation,2021-01-01,2023-12-31
12210270.0,11.0,Coffee Rich,2021-01-01,2023-12-31
12210270.0,12.0,Dunkin Donuts,2021-01-01,2023-12-31
12210270.0,13.0,International Delight,2021-01-01,2023-12-31
12210270.0,14.0,Mocha Mix,2021-01-01,2023-12-31
12210280.0,1.0,low fat,2021-01-01,2023-12-31
12210280.0,2.0,light,2021-01-01,2023-12-31
12210280.0,3.0,lite,2021-01-01,2023-12-31
12210280.0,4.0,Coffee Mate,2021-01-01,2023-12-31
12210280.0,5.0,Carnation,2021-01-01,2023-12-31
12210280.0,6.0,International Delight,2021-01-01,2023-12-31
12210280.0,7.0,Mocha Mix,2021-01-01,2023-12-31
12210310.0,4.0,Coffee Mate,2021-01-01,2023-12-31
12210310.0,5.0,Carnation,2021-01-01,2023-12-31
12210310.0,6.0,International Delight,2021-01-01,2023-12-31
12210310.0,7.0,Mocha Mix,2021-01-01,2023-12-31
12210400.0,1.0,Coffee Mate,2021-01-01,2023-12-31
